city_or_county,state_abr,population,n_injured,n_rpts,n_killed
Eastvale,CA,59039,1,1,0
Eau Claire,WI,67778,5,37,8
Eden,NC,15403,15,27,6
Eden Prairie,MN,63496,2,8,2
Edgewater,FL,21566,2,11,4
Edgewood,MD,25562,18,21,8
Edina,MN,50138,0,1,0
Edinburg,TX,84497,10,15,10
Edison,NJ,102548,5,9,0
Edmond,OK,90092,16,38,8
Edmonds,WA,41375,2,14,3
Edwardsville,IL,24992,4,12,0
El Cajon,CA,103679,9,25,11
El Centro,CA,43956,6,12,5
El Cerrito,CA,23549,11,22,4
El Dorado,AR,18386,7,20,15
El Dorado Hills,CA,42108,0,2,1
El Mirage,AZ,33935,5,5,2
El Monte,CA,116732,16,39,21
El Paso,TX,681124,87,220,71
El Reno,OK,18516,1,3,0
El Segundo,CA,17037,3,4,3
Eldersburg,MD,30531,0,3,0
Elgin,IL,112111,28,62,7
Elizabeth,NJ,129007,63,105,28
Elizabeth City,NC,17988,40,61,11
Elizabethtown,KY,29678,5,17,9
Elk Grove,CA,166913,12,27,7
Elk Grove Village,IL,33238,0,3,1
Elk River,MN,23963,0,1,0
Elkhart,IN,52348,59,101,33
Elko,NV,20279,3,23,5
Elkridge,MD,15593,1,4,1
Elkton,MD,15782,7,11,5
Ellensburg,WA,19001,0,4,1
Ellicott City,MD,65834,3,8,6
Elmhurst,IL,45957,3,11,4
Elmhurst,NY,113364,3,3,0
Elmira,NY,28213,25,62,7
Elmont,NY,33198,6,12,0
Elmwood Park,IL,24840,0,2,1
Elmwood Park,NJ,20279,0,4,0
Eloy,AZ,17059,0,2,2
Elyria,OH,53775,27,106,11
Emporia,KS,24649,2,6,3
Encinitas,CA,62930,2,6,1
Encino,CA,44581,2,2,0
Enfield,CT,45212,1,10,1
Englewood,CO,33082,4,24,7
Englewood,NJ,28539,7,22,0
Enid,OK,51776,18,60,6
Ennis,TX,19007,1,6,2
Enterprise,AL,27978,16,27,8
Erie,CO,21420,0,1,1
Erie,PA,99475,89,181,28
Erlanger,KY,18797,6,4,0
Escondido,CA,151451,26,33,11
Essex,MD,39262,13,16,3
Estero,FL,30799,5,6,3
Euclid,OH,47676,11,34,13
Eugene,OR,163460,20,79,15
Euless,TX,54219,2,11,9
Eureka,CA,27017,25,144,14
Eustis,FL,19986,7,29,7
Evans,CO,21383,1,11,6
Evans,GA,29011,2,9,1
Evanston,IL,75527,28,84,8
Evansville,IN,119943,124,332,41
Everett,MA,46050,2,12,5
Everett,WA,108010,52,101,18
Evergreen Park,IL,19841,1,4,1
Ewing,NJ,36559,2,4,0
Fair Lawn,NJ,33597,0,2,3
Fair Oaks,CA,30912,1,5,4
Fairbanks,AK,32325,32,217,36
Fairborn,OH,33452,6,32,3
Fairfax,VA,24013,5,12,3
Fairfield,CA,112970,42,64,19
Fairfield,CT,59052,1,23,3
Fairfield,OH,42767,7,12,9
Fairhaven,MA,16453,0,4,0
Fairhope,AL,18730,2,10,2
Fairmont,WV,18733,10,34,11
Fairview Heights,IL,16827,5,22,5
Fall River,MA,88777,35,135,6
Fallbrook,CA,30534,1,5,1
Far Rockaway,NY,39189,10,21,5
Fargo,ND,118523,10,83,6
Faribault,MN,23650,1,4,4
Farmington,CT,25000,3,6,0
Farmington,MN,22731,1,5,1
Farmington,MO,18181,1,4,0
Farmington,NM,42871,14,37,10
Farmington,UT,22566,1,1,0
Farmington Hills,MI,81330,1,3,0
Fayetteville,AR,82830,21,54,6
Fayetteville,GA,16990,8,13,4
Fayetteville,NC,201963,229,387,116
Federal Way,WA,95171,27,63,29
Ferguson,MO,21059,20,35,5
Ferndale,MI,20177,4,13,0
Fernley,NV,19418,7,10,1
Fillmore,CA,15548,4,5,3
Findlay,OH,41149,4,15,9
Fishers,IN,76794,3,11,2
Fitchburg,MA,40545,15,66,3
Fitchburg,WI,27996,3,9,2
Flagstaff,AZ,70320,11,30,15
Fleming Island,FL,27126,0,2,0
Flint,MI,98310,375,643,166
Florence,AL,40026,28,42,6
Florence,AZ,31110,1,4,2
Florence,KY,32227,6,11,6
Florence,SC,38228,70,128,29
Florissant,MO,52268,21,50,24
Flower Mound,TX,71253,3,9,1
Foley,AL,17218,2,14,4
Folsom,CA,76375,1,3,1
Fontana,CA,207460,17,43,25
Forest Grove,OR,23897,1,4,0
Forest Hills,NY,67714,1,2,0
Forest Lake,MN,19618,1,3,1
Forest Park,GA,19383,4,11,10
Forest Park,OH,18676,1,2,1
Forney,TX,18418,1,5,2
Fort Bragg,NC,29183,0,2,2
Fort Collins,CO,161175,19,48,16
Fort Dodge,IA,24649,13,37,3
Fort Hood,TX,29589,17,6,10
Fort Lauderdale,FL,178590,77,213,59
Fort Lee,NJ,36672,1,8,0
Fort Myers,FL,74013,187,387,87
Fort Pierce,FL,44484,98,235,43
Fort Smith,AR,88194,32,89,19
Fort Thomas,KY,16398,0,1,0
Fort Walton Beach,FL,21817,31,78,14
Fort Washington,MD,23717,3,15,12
Fort Wayne,IN,260326,338,602,144
Fort Worth,TX,833319,256,418,223
Fountain,CO,27767,7,24,8
Fountain Hills,AZ,23899,3,3,2
Fountain Valley,CA,56987,4,8,2
Framingham,MA,68318,10,53,2
Frankfort,IL,18653,0,2,0
Frankfort,IN,16060,2,4,1
Frankfort,KY,27830,16,49,11
Franklin,IN,24598,10,33,4
Franklin,MA,30636,1,2,0
Franklin,TN,72639,4,24,2
Franklin,WI,36222,0,5,1
Franklin Park,IL,18312,1,2,0
Franklin Square,NY,29320,1,2,0
Frederick,MD,69479,23,64,4
Fredericksburg,VA,28118,14,45,12
Frederickson,WA,18719,0,1,1
Freeport,IL,24476,22,64,3
Freeport,NY,43334,6,17,4
Fremont,CA,232206,18,49,9
Fremont,NE,26474,4,6,1
Fremont,OH,16297,6,18,8
Fresh Meadows,NY,28397,1,4,0
Fresno,CA,520052,545,1057,166
Fresno,TX,19069,2,8,6
Fridley,MN,27713,1,4,1
Friendswood,TX,38800,2,21,3
Frisco,TX,154407,4,12,5
Front Royal,VA,15070,0,1,1
Fullerton,CA,140847,10,23,7
Gadsden,AL,36084,31,58,17
Gahanna,OH,34590,2,2,0
Gainesville,FL,130128,60,199,23
Gainesville,GA,38712,25,54,16
Gainesville,TX,16292,3,6,1
Gaithersburg,MD,67456,4,12,9
Galesburg,IL,31273,7,15,5
Gallatin,TN,34334,5,23,5
Gallup,NM,23240,1,4,4
Galt,CA,25303,7,2,2
Galveston,TX,50180,18,47,17
Garden City,KS,27005,1,9,4
Garden City,MI,26920,1,6,1
Garden City,NY,22612,5,7,1
Garden Grove,CA,175393,24,32,6
Gardena,CA,60447,18,23,14
Gardner,KS,20868,2,3,1
Gardner,MA,20333,3,6,0
Garfield,NJ,31802,5,7,0
Garfield Heights,OH,28097,1,4,2
Garland,TX,236897,20,45,25
Garner,NC,28053,5,13,3
Gary,IN,77156,323,492,172
Gastonia,NC,74543,35,84,24
Gatesville,TX,15724,2,4,3
Gautier,MS,18570,6,12,5
Geneva,IL,21806,0,3,1
Georgetown,KY,32356,9,23,5
Georgetown,TX,63716,4,14,4
Germantown,MD,86395,11,14,8
Germantown,TN,39240,1,5,1
Germantown,WI,19993,1,5,0
Gilbert,AZ,247542,9,17,12
Gillette,WY,32649,2,10,3
Gilroy,CA,53231,3,7,4
Gladstone,MO,26861,0,2,2
Glassboro,NJ,19216,2,14,1
Glastonbury,CT,31876,0,6,1
Glen Burnie,MD,67639,20,93,8
Glen Cove,NY,27400,3,6,1
Glen Ellyn,IL,28201,1,4,0
Glendale,AZ,240126,61,118,75
Glendale,CA,201020,2,13,5
Glendale Heights,IL,34208,1,3,3
Glendora,CA,52009,1,9,1
Glenview,IL,47446,0,1,0
Gloucester,MA,29781,1,2,0
Gloversville,NY,15023,1,8,1
Godfrey,IL,17759,2,6,0
Golden,CO,20330,2,7,4
Golden Gate,FL,23961,2,3,0
Goldsboro,NC,35826,89,232,43
Goleta,CA,30944,0,1,2
Goodlettsville,TN,16994,8,14,4
Goodyear,AZ,79003,4,9,4
Goose Creek,SC,40633,22,47,15
Goshen,IN,32983,7,17,5
Graham,WA,23491,3,8,7
Grand Forks,ND,57011,8,35,6
Grand Island,NE,51440,2,16,4
Grand Island,NY,20813,0,1,0
Grand Junction,CO,60358,20,172,15
Grand Prairie,TX,187809,12,30,17
Grand Rapids,MI,195097,215,352,45
Grandview,MO,25256,11,16,5
Grandville,MI,15953,1,3,0
Granger,IN,30465,0,2,2
Granite City,IL,29054,5,25,6
Grants Pass,OR,37088,7,28,11
Grapevine,TX,51404,5,13,1
Grayslake,IL,20915,0,2,1
Great Bend,KS,15717,10,16,2
Great Falls,MT,59638,11,48,7
Great Falls,VA,15427,0,3,2
Great Kills,NY,22000,0,1,0
Greeley,CO,100883,24,66,14
Green Bay,WI,105207,13,63,12
Green Valley,AZ,21391,1,5,3
Greenbelt,MD,24272,4,10,5
Greenburgh,NY,86764,1,1,0
Greeneville,TN,15094,11,54,7
Greenfield,CA,17184,8,18,9
Greenfield,IN,21497,0,8,1
Greenfield,MA,19753,2,15,1
Greenfield,WI,37349,0,4,1
Greensboro,NC,285342,311,522,120
Greenville,MS,32156,32,46,22
Greenville,NC,90597,114,266,23
Greenville,SC,64579,129,291,82
Greenville,TX,26515,2,6,6
Greenwood,IN,55586,18,33,6
Greenwood,MS,15431,20,38,17
Greenwood,SC,23260,28,45,9
Greenwood Village,CO,15663,0,1,0
Greer,SC,28365,11,47,9
Gresham,OR,110553,16,33,10
Gretna,LA,17880,18,34,8
Griffin,GA,23211,9,21,11
Griffith,IN,16378,4,15,3
Grosse Pointe Woods,MI,15762,0,1,0
Grove City,OH,39388,2,11,4
Groves,TX,15750,4,4,0
Guilford,CT,22498,0,2,1
Gulfport,MS,71856,65,170,41
Gurnee,IL,31056,0,4,2
Hacienda Heights,CA,54038,6,12,4
Hackensack,NJ,44834,2,16,5
Hagerstown,MD,40432,23,71,11
Haines City,FL,22807,9,15,6
Hallandale Beach,FL,39488,5,6,2
Haltom City,TX,44206,6,6,1
Ham Lake,MN,16062,0,1,0
Hamden,CT,59847,35,95,5
Hamilton,OH,62407,42,71,32
Hammond,IN,77614,68,120,39
Hammond,LA,20480,23,62,22
Hampton,VA,136454,258,360,67
Hamtramck,MI,22002,5,3,0
Hanahan,SC,17997,6,9,1
Hanford,CA,55659,12,20,3
Hannibal,MO,17839,6,13,1
Hanover,MA,16906,1,1,0
Hanover,MD,38088,2,15,1
Hanover,PA,15496,4,13,1
Hanover Park,IL,38333,1,5,1
Happy Valley,OR,18493,1,1,0
Harker Heights,TX,29142,7,34,10
Harlingen,TX,65774,3,12,1
Harrisburg,PA,49081,187,384,73
Harrison,NJ,15474,5,9,1
Harrison,NY,28348,1,4,4
Harrisonburg,VA,52538,3,13,3
Hartford,CT,124006,267,588,86
Harvey,IL,25194,31,32,16
Harvey,LA,20348,66,99,32
Haslett,MI,19220,1,1,0
Hastings,MN,22554,0,6,3
Hastings,NE,24924,1,8,2
Hattiesburg,MS,46805,72,140,27
Havelock,NC,20364,8,13,4
Haverhill,MA,62765,17,36,3
Hawthorne,CA,88451,17,21,19
Hawthorne,NJ,19074,1,3,0
Hays,KS,21092,1,3,2
Hayward,CA,158289,36,67,31
Hazel Dell,WA,19435,0,1,1
Hazel Park,MI,16597,3,6,0
Hazelwood,MO,25661,12,24,6
Hazleton,PA,24825,35,112,8
Helena,AL,18264,2,4,1
Helena,MT,30581,1,53,9
Hemet,CA,83861,20,48,18
Hempstead,NY,55547,23,56,16
Henderson,KY,28890,19,58,8
Henderson,NC,15271,20,39,21
Henderson,NV,285667,13,53,30
Hendersonville,TN,56018,5,25,7
Hercules,CA,25314,4,5,0
Hereford,TX,15021,2,1,0
Hermiston,OR,17201,5,10,7
Hermitage,PA,16028,3,5,3
Hermosa Beach,CA,19860,1,2,2
Hernando,MS,15503,1,2,1
Herndon,VA,24568,2,5,1
Herriman,UT,30835,3,4,0
Hesperia,CA,93295,12,28,5
Hialeah,FL,237069,23,56,32
Hibbing,MN,16204,2,6,0
Hickory,NC,40374,19,51,24
Hicksville,NY,41547,2,4,0
High Point,NC,110268,71,113,30
Highland,CA,54854,12,25,9
Highland,IN,22936,1,5,0
Highland Park,IL,29743,1,3,1
Highland Village,TX,16149,0,1,0
Highlands Ranch,CO,96713,0,2,4
Hillcrest Heights,MD,16469,1,1,0
Hilliard,OH,33649,2,7,3
Hillsboro,OR,102347,6,28,5
Hillside,NJ,22155,3,14,1
Hilo,HI,43263,5,46,10
Hilton Head,SC,37099,0,8,0
Hilton Head Island,SC,40512,15,72,7
Hinesville,GA,33398,6,17,8
Hobart,IN,28404,6,16,7
Hobbs,NM,38416,11,23,9
Hoboken,NJ,53635,4,12,1
Hoffman Estates,IL,52138,3,5,2
Holiday,FL,22403,5,12,4
Holladay,UT,30864,2,5,0
Holland,MI,33742,6,31,7
Hollister,CA,37462,4,7,2
Holly Springs,NC,31377,4,6,1
Hollywood,CA,167664,7,18,12
Hollywood,FL,149728,25,64,15
Holt,MI,23973,0,1,0
Holtsville,NY,19714,1,1,0
Holyoke,MA,40684,43,127,11
Homer Glen,IL,24395,1,2,2
Homestead,FL,66498,20,29,13
Homewood,AL,25708,0,6,1
Homewood,IL,19373,2,1,0
Honolulu,HI,371657,33,64,12
Hoover,AL,84848,0,8,4
Hope Mills,NC,16163,11,18,9
Hopewell,VA,22378,42,54,12
Hopkins,MN,17591,1,1,0
Hopkinsville,KY,32205,23,120,9
Horn Lake,MS,26915,5,12,8
Hot Springs,AR,35635,14,14,8
Hot Springs National Park,AR,35193,5,8,8
Houma,LA,34287,36,92,26
Houston,TX,2296224,1245,2480,1144
Howard,WI,19250,0,2,0
Howard Beach,NY,26148,0,1,1
Huber Heights,OH,38176,1,5,3
Hudson,OH,22437,0,2,3
Hueytown,AL,15710,0,2,1
Humble,TX,15665,38,41,11
Hunt Valley,MD,23915,1,1,0
Huntersville,NC,52704,3,12,6
Huntington,IN,17095,3,3,2
Huntington,NY,18046,6,13,0
Huntington,WV,48638,113,201,26
Huntington Beach,CA,201899,13,30,11
Huntington Park,CA,59430,2,5,4
Huntington Station,NY,33029,13,17,2
Huntley,IL,26005,2,3,2
Huntsville,AL,190582,264,518,79
Huntsville,TX,40938,14,29,4
Hurricane,UT,15501,1,7,1
Hurst,TX,39016,7,8,7
Hutchinson,KS,41569,7,19,5
Hutto,TX,22722,0,1,1
Hyattsville,MD,18501,21,31,16
Idaho Falls,ID,59184,6,57,6
Immokalee,FL,24154,8,17,1
Imperial,CA,17095,1,5,1
Imperial Beach,CA,27408,1,3,3
Independence,KY,26819,0,4,4
Independence,MO,117255,44,89,34
Indian Trail,NC,37073,2,5,2
Indianapolis,IN,829718,1131,1919,616
Indio,CA,87533,27,65,19
Inglewood,CA,111666,16,46,41
Inkster,MI,24672,19,40,26
Inver Grove Heights,MN,34857,2,6,1
Iowa City,IA,74220,15,67,3
Iron River,MI,2904,0,1,1
Irondequoit,NY,51692,0,2,0
Irvine,CA,256927,1,10,5
Irving,TX,236607,7,70,28
Irvington,NJ,61323,27,50,35
Isla Vista,CA,23096,2,2,0
Islip,NY,18689,1,7,3
Issaquah,WA,36081,2,5,0
Ithaca,NY,30788,8,36,1
Jackson,MI,33133,64,129,16
Jackson,MS,170674,546,844,246
Jackson,NJ,54856,2,8,2
Jackson,TN,66975,156,342,48
Jackson Heights,NY,67067,6,7,0
Jacksonville,AR,28643,10,32,12
Jacksonville,FL,868031,1126,2317,421
Jacksonville,IL,19103,3,11,2
Jacksonville,NC,67357,30,68,20
Jacksonville Beach,FL,23064,5,11,2
Jamaica,NY,216866,52,90,23
Jamestown,ND,15422,3,7,3
Jamestown,NY,30075,13,63,4
Janesville,WI,64123,6,40,2
Jasper,IN,15451,2,6,0
Jefferson City,MO,43169,28,92,11
Jeffersontown,KY,26946,0,1,0
Jeffersonville,IN,46960,15,26,3
Jenison,MI,16538,0,1,0
Jenks,OK,20740,1,3,0
Jersey City,NJ,264290,314,623,77
Johns Creek,GA,83335,1,4,0
Johnson City,TN,66027,23,97,21
Johnston,IA,20871,1,3,1
Johnston,RI,29247,0,8,1
Johnstown,PA,19966,30,69,26
Joliet,IL,147861,91,198,46
Jonesboro,AR,73907,74,251,27
Joplin,MO,51818,28,111,24
Junction City,KS,24621,7,21,9
Juneau,AK,32756,9,97,5
Jupiter,FL,62707,13,29,6
Jurupa Valley,CA,21930,2,2,2
Kahului,HI,26337,0,5,1
Kailua,HI,38635,1,1,0
Kalamazoo,MI,76041,78,178,33
Kalispell,MT,22052,6,23,4
Kaneohe,HI,34597,1,4,1
Kankakee,IL,26676,64,186,18
Kannapolis,NC,46144,15,28,2
Kansas City,KS,151306,130,229,138
Kansas City,MO,475378,747,1152,427
Kapolei,HI,15186,0,2,2
Katy,TX,16158,20,49,37
Kaukauna,WI,15854,0,1,0
Kaysville,UT,30472,0,2,2
Kearney,NE,33021,4,16,0
Kearns,UT,35731,2,3,1
Kearny,NJ,42137,0,3,0
Keene,NH,23265,1,26,1
Keizer,OR,37895,3,12,4
Keller,TX,45758,0,5,2
Kendall,FL,75371,1,3,2
Kenmore,NY,15160,1,3,0
Kenner,LA,67091,33,123,16
Kennesaw,GA,33584,9,23,12
Kennewick,WA,78896,9,54,14
Kenosha,WI,99858,29,50,12
Kent,OH,29810,3,12,5
Kent,WA,126952,34,64,26
Kentwood,MI,51357,0,1,0
Kernersville,NC,23811,6,13,2
Kerrville,TX,23136,2,7,7
Kettering,OH,55525,1,4,0
Key West,FL,25755,10,33,4
Killeen,TX,140806,98,282,75
Kingman,AZ,28912,14,34,13
Kings Park,NY,17282,1,1,0
Kingsport,TN,53014,25,61,7
Kingston,NY,23436,9,41,1
Kingsville,TX,26225,0,2,1
Kinston,NC,21337,107,181,21
Kirkland,WA,87281,1,10,5
Kirksville,MO,17520,2,7,5
Kirkwood,MO,27750,0,2,0
Kissimmee,FL,69152,32,68,25
Klamath Falls,OR,21399,7,28,9
Knoxville,TN,185291,241,387,98
Kokomo,IN,57995,17,50,9
Koreatown,CA,124281,1,2,2
Kuna,ID,17226,3,7,1
Kyle,TX,35733,2,9,3
La Crosse,WI,52306,6,25,1
La Grange,IL,15723,1,3,0
La Habra,CA,62131,6,13,2
La Jolla,CA,42808,0,6,2
La Marque,TX,15908,9,16,11
La Mesa,CA,60089,8,17,4
La Mirada,CA,49520,0,7,4
La Palma,CA,15904,0,2,0
La Porte,IN,21916,1,4,1
La Porte,TX,35148,10,13,3
La Puente,CA,40745,12,24,7
La Quinta,CA,40476,4,11,4
La Vergne,TN,34794,15,28,2
La Verne,CA,32681,3,3,0
La Vista,NE,16921,2,4,1
LaGrange,GA,29588,1,1,0
LaPorte,IN,22053,0,1,0
Lacey,WA,46409,5,14,12
Lackawanna,NY,17965,2,3,0
Laconia,NH,16227,3,22,1
Ladera Ranch,CA,22980,1,1,0
Lafayette,CA,25843,0,1,0
Lafayette,CO,27729,0,3,2
Lafayette,IN,71111,40,156,14
Lafayette,LA,127657,134,242,65
Laguna Beach,CA,23365,1,3,0
Laguna Hills,CA,31748,0,1,1
Laguna Niguel,CA,65806,3,2,0
Laguna Woods,CA,16406,0,1,1
Lake Butler,FL,15400,1,4,7
Lake Charles,LA,76070,56,108,33
Lake Elsinore,CA,61981,4,26,13
Lake Forest,CA,82492,1,1,0
Lake Forest,IL,19408,0,4,3
Lake Havasu City,AZ,53553,7,15,5
Lake Jackson,TX,27533,1,3,1
Lake Mary,FL,16021,2,11,2
Lake Oswego,OR,38496,1,2,1
Lake Ridge,VA,41058,1,3,0
Lake Ronkonkoma,NY,20155,0,2,0
Lake Stevens,WA,30886,8,11,2
Lake Wales,FL,15541,6,17,5
Lake Worth,FL,37498,57,116,25
Lake Zurich,IL,19993,1,2,0
Lakeland,FL,104401,40,87,41
Lakeside,CA,20648,0,3,2
Lakeville,MN,60633,0,2,0
Lakewood,CA,81611,6,10,5
Lakewood,CO,152597,7,6,1
Lakewood,NJ,53805,18,27,6
Lakewood,OH,50656,5,28,5
Lakewood,WA,59829,18,40,12
Lamont,CA,15120,9,20,11
Lancaster,CA,161103,21,56,34
Lancaster,OH,39766,7,47,5
Lancaster,PA,59339,100,276,30
Lancaster,TX,38801,8,11,7
Landover,MD,23078,1,5,3
Lansdale,PA,16512,0,4,7
Lansing,IL,28349,7,12,4
Lansing,MI,115056,116,189,40
Laplace,LA,29872,5,12,6
Laramie,WY,32158,0,2,2
Laredo,TX,255473,44,160,25
Largo,FL,81000,9,29,15
Las Cruces,NM,101643,35,92,30
Las Vegas,NV,623747,709,1342,600
Latham,NY,20736,0,3,3
Lathrop,CA,20866,1,4,3
Lauderdale Lakes,FL,34796,1,6,2
Lauderhill,FL,71579,9,11,3
Laurel,MD,26215,13,44,13
Laurel,MS,18837,19,43,9
Laurel,VA,16713,0,1,0
Laurinburg,NC,15507,23,39,12
Lawndale,CA,33430,4,6,2
Lawrence,IN,47809,5,9,3
Lawrence,KS,93917,38,62,14
Lawrence,MA,80231,30,73,21
Lawrenceville,GA,30493,30,54,32
Lawton,OK,96655,71,121,26
Layton,UT,74143,3,8,4
League City,TX,98312,2,13,7
Leander,TX,37889,2,7,2
Leavenworth,KS,35980,20,50,7
Lebanon,IN,15892,2,4,2
Lebanon,OH,20623,2,6,2
Lebanon,OR,16324,7,31,1
Lebanon,PA,25534,25,75,12
Lebanon,TN,30262,20,38,5
Ledyard,CT,15212,3,9,0
Lee's Summit,MO,95094,1,5,2
Leesburg,FL,21993,27,52,11
Leesburg,VA,51209,4,9,5
Lehi,UT,58486,0,1,0
Lehigh Acres,FL,86784,52,116,28
Leland,NC,17924,2,14,2
Lemon Grove,CA,26709,4,6,2
Lemoore,CA,25647,4,11,3
Lenexa,KS,52490,4,15,5
Lenoir,NC,17888,3,10,3
Leominster,MA,41569,6,19,0
Levittown,NY,51881,0,5,0
Levittown,PA,52983,3,7,4
Lewiston,ID,32544,7,15,1
Lewiston,ME,36202,7,33,1
Lewisville,TX,104039,7,18,5
Lexington,KY,225366,405,851,81
Lexington,MA,31394,0,2,0
Lexington,NC,19326,24,46,12
Lexington,SC,20138,4,19,8
Liberal,KS,20746,6,5,2
Liberty,MO,30450,3,10,5
Libertyville,IL,20436,0,2,1
Lima,OH,37873,22,33,10
Lincoln,CA,46474,1,4,4
Lincoln,NE,277348,78,468,27
Lincoln,RI,21670,2,6,0
Lincoln Park,MI,37012,3,9,2
Lincolnia,VA,22855,1,1,0
Linden,NJ,42021,15,38,3
Lindenhurst,NY,27277,1,3,1
Lindenwold,NJ,17613,4,7,0
Lisle,IL,22964,0,3,1
Lithia Springs,GA,15491,3,11,7
Little Elm,TX,38341,2,4,2
Little Rock,AR,197992,590,924,169
Littleton,CO,46368,6,37,13
Live Oak,CA,17158,0,4,1
Livermore,CA,88126,10,17,5
Livingston,NJ,27853,1,1,0
Livonia,MI,94635,7,9,0
Lochearn,MD,25333,1,1,0
Lockport,IL,25175,3,11,3
Lockport,NY,20624,14,38,1
Lodi,CA,64596,14,33,14
Lodi,NJ,24835,1,4,1
Logan,UT,50371,7,18,7
Logansport,IN,17793,4,8,3
Loma Linda,CA,24045,1,5,0
Lombard,IL,43797,0,2,2
Lomita,CA,20785,1,3,1
Lompoc,CA,44164,4,11,2
Long Beach,CA,474140,207,329,120
Long Beach,MS,15555,3,5,0
Long Beach,NY,33550,6,8,1
Long Branch,NJ,30941,8,15,9
Long Island City,NY,25595,4,7,2
Longmeadow,MA,15784,0,1,0
Longmont,CO,92088,6,25,1
Longview,TX,82287,59,154,52
Longview,WA,36848,8,17,6
