,state_abr,total_rpt_qnt,total_inj_qnt,total_kill_qnt,n_cico_instate,rpt_qnt,inj_qnt,kill_qnt
0,AK,0.011889866902172338,0.0021428088464820567,0.0017085736579045589,4,0.0029724667255430844,0.0005357022116205142,0.0004271434144761397
1,AL,0.054119361810923514,0.030679694411638,0.016814708069686157,40,0.0013529840452730878,0.0007669923602909499,0.0004203677017421539
2,AR,0.02638775400018661,0.011478913709555958,0.00768512959907546,27,0.0009773242222291337,0.0004251449522057762,0.0002846344295953874
3,AZ,0.010867502659895526,0.004916629631298957,0.004880331967492211,43,0.0002527326199975704,0.00011434022398369668,0.00011349609226726073
4,CA,0.1289788102469184,0.05552480941678055,0.043293847147601476,377,0.0003421188600714016,0.00014728066158297228,0.00011483779084244424
5,CO,0.020242090361627243,0.005502209759848078,0.004757958838222473,36,0.000562280287822979,0.00015283915999577994,0.00013216552328395757
6,CT,0.037224624392981846,0.013331993211232256,0.003523975941113171,53,0.0007023514036411669,0.0002515470417213633,6.649011209647492e-05
7,DE,0.024207052895227225,0.012130916020163508,0.0028791606119113375,5,0.004841410579045445,0.0024261832040327015,0.0005758321223822675
8,FL,0.14157320276426,0.06016305417110645,0.034693847955272944,155,0.0009133755017049032,0.00038814873658778355,0.00022383127713079319
9,GA,0.10279944884451861,0.045560523499192734,0.030577345988137328,64,0.0016062413881956033,0.0007118831796748865,0.00047777103106464575
10,HI,0.0024750058135031908,0.00035861764269996403,0.0006788833281959878,9,0.00027500064594479897,3.984640474444045e-05,7.543148091066531e-05
11,IA,0.029844989248219846,0.009723428563241708,0.0029120089182557004,29,0.001029137560283443,0.00033529064011178305,0.00010041410062950692
12,ID,0.006743943940928702,0.001529355669858453,0.0013350602313825515,12,0.0005619953284107252,0.00012744630582153774,0.0001112550192818793
13,IL,0.09633804782301056,0.039967470104097826,0.019722610511294824,151,0.0006380003167086791,0.00026468523247746904,0.0001306133146443366
14,IN,0.052457296892120066,0.024010840207479702,0.013342595235368652,60,0.0008742882815353344,0.0004001806701246617,0.0002223765872561442
15,KS,0.01785308410544268,0.007443798155099402,0.004442730142126205,24,0.000743878504393445,0.00031015825646247506,0.0001851137559219252
16,KY,0.033770767685726545,0.013477072534697222,0.006934888196447163,27,0.0012507691735454277,0.0004991508346184156,0.0002568477109795246
17,LA,0.06169717246819352,0.030812359374915155,0.01716830806716939,27,0.002285080461784945,0.0011411984953672279,0.0006358632617470143
18,MA,0.05527218662037327,0.014344798814944496,0.004507602651638778,100,0.0005527218662037327,0.00014344798814944497,4.507602651638778e-05
19,MD,0.03818126491447446,0.01733739795296757,0.011790252158853463,63,0.0006060518240392772,0.00027519679290424716,0.00018714685966434068
20,ME,0.00862206665530271,0.0014355435327987457,0.0010013210000941813,12,0.0007185055546085592,0.00011962862773322881,8.34434166745151e-05
21,MI,0.062000155955342806,0.02729155084807603,0.012454520115169551,73,0.0008493172048677096,0.0003738568609325484,0.0001706098645913637
22,MN,0.01921946604297576,0.005497945255319111,0.0029714282301803925,63,0.0003050708895710438,8.726897230665256e-05,4.716552746318083e-05
23,MO,0.03465546383801767,0.013891526318655834,0.008273792455851447,46,0.000753379648652558,0.00030198970257947464,0.00017986505338807494
24,MS,0.052014417386912405,0.026586431356071485,0.014302971379643363,28,0.0018576577638183002,0.0009495154055739816,0.0005108204064158344
25,MT,0.008202430804044028,0.0013958696598137935,0.0013065611348224444,7,0.0011717758291491468,0.0001994099514019705,0.00018665159068892063
26,NC,0.09585624583665905,0.047434102181807145,0.022998129973411954,62,0.0015460684812364364,0.0007650661642226959,0.0003709375802163218
27,ND,0.010880738132369425,0.002501955281474397,0.0013157669668813078,9,0.0012089709035966029,0.000277995031274933,0.00014619632965347864
28,NE,0.007394819680854422,0.0023577999164590257,0.0009781811772066413,12,0.0006162349734045352,0.00019648332637158547,8.151509810055345e-05
29,NH,0.01383541913668911,0.0013693548471381705,0.0009951125517886007,12,0.0011529515947240924,0.00011411290392818088,8.29260459823834e-05
30,NJ,0.06628535389779328,0.031678185652833556,0.01332814767318367,101,0.0006562906326514186,0.00031364540250330253,0.00013196185815033337
31,NM,0.01099531745728783,0.004172530731391429,0.0033561392773568174,14,0.0007853798183777022,0.00029803790938510207,0.00023972423409691551
32,NV,0.008166811960333201,0.003115900451634087,0.0023417191139243777,13,0.0006282163046410154,0.00023968465012569898,0.00018013223953264443
33,NY,0.07140823754026983,0.030303157440857535,0.009086297048960048,136,0.0005250605701490428,0.00022281733412395246,6.681100771294153e-05
34,OH,0.08451168362921284,0.03745353601473451,0.019211103441469625,116,0.0007285489968035589,0.0003228753104718492,0.00016561296070232435
35,OK,0.02331220452115972,0.009611542656727293,0.005689771440767368,32,0.0007285063912862412,0.0003003607080227279,0.00017780535752398024
36,OR,0.020009120070086202,0.005670999002258103,0.0054978433962385755,40,0.0005002280017521551,0.00014177497505645257,0.0001374460849059644
37,PA,0.06522038669892567,0.0309402597420965,0.014663301719299703,44,0.0014822815158846744,0.0007031877214112841,0.0003332568572568114
38,RI,0.009934702221412461,0.003503795969994912,0.0007647123814829038,22,0.0004515773737005664,0.0001592634531815869,3.475965370376835e-05
39,SC,0.08816662216853675,0.03575489383711118,0.017717771766975896,30,0.002938887405617892,0.0011918297945703728,0.0005905923922325299
40,SD,0.004754021405629608,0.0009619895148499601,0.000606001158186324,6,0.0007923369009382679,0.00016033158580832667,0.00010100019303105399
41,TN,0.044255368200857806,0.021951396831550594,0.008592742638299492,37,0.0011960910324556164,0.0005932809954473133,0.0002322362875216079
42,TX,0.08220457737703882,0.034065072449247176,0.0296629507537294,173,0.0004751709674973342,0.00019690793323264263,0.00017146214308514103
43,UT,0.010105728382895808,0.0034163660787906018,0.002955224290421631,45,0.00022457174184212908,7.59192461953467e-05,6.567165089825847e-05
44,VA,0.04862447267425621,0.027554382461378504,0.011970190787308344,55,0.0008840813213501129,0.0005009887720250637,0.00021763983249651535
45,VT,0.0029316391286136998,0.0004325824473685506,0.00017099704660131904,4,0.0007329097821534249,0.00010814561184213765,4.274926165032976e-05
46,WA,0.028614149079717918,0.010420474864413656,0.00862452182372939,65,0.00044021767814950646,0.00016031499791405624,0.0001326849511342983
47,WI,0.028729848645246227,0.008457703135851494,0.00451196225134748,51,0.0005633303655930632,0.00016583731638924497,8.846984806563686e-05
48,WV,0.022960508101051418,0.010057549565781351,0.004009767528530556,10,0.002296050810105142,0.001005754956578135,0.0004009767528530556
49,WY,0.0058919112495259334,0.0006098212845547909,0.0009194587715267568,6,0.0009819852082543223,0.00010163688075913182,0.0001532431285877928
